g	problem	cat	numsurveys	numrespondents	perc	year
2	501	2	3	8989	1.184	1939
2	502	2	3	8989	1.184	1939
2	503	2	3	8989	0	1939
2	504	2	3	8989	.41800001	1939
2	505	2	3	8989	0	1939
2	506	2	3	8989	.15000001	1939
2	507	2	3	8989	0	1939
2	508	2	3	8989	1.395	1939
2	509	2	3	8989	.23100001	1939
2	601	2	3	8989	20.667	1939
2	602	2	3	8989	1.377	1939
2	603	2	3	8989	0	1939
2	604	2	3	8989	0	1939
2	605	2	3	8989	11.705	1939
2	606	2	3	8989	0	1939
2	608	2	3	8989	0	1939
2	609	2	3	8989	0	1939
2	610	2	3	8989	0	1939
2	611	2	3	8989	0	1939
2	701	2	3	8989	0	1939
2	702	2	3	8989	.227	1939
2	703	2	3	8989	0	1939
2	704	2	3	8989	0	1939
2	705	2	3	8989	0	1939
2	801	2	3	8989	0	1939
2	802	2	3	8989	0	1939
2	803	2	3	8989	0	1939
2	804	2	3	8989	0	1939
2	805	2	3	8989	0	1939
2	806	2	3	8989	0	1939
2	807	2	3	8989	.077	1939
2	901	2	3	8989	.53600001	1939
2	902	2	3	8989	0	1939
2	903	2	3	8989	.45199999	1939
2	904	2	3	8989	.077	1939
2	905	2	3	8989	0	1939
2	906	2	3	8989	0	1939
2	908	2	3	8989	0	1939
2	1001	2	3	8989	.81999999	1939
2	1002	2	3	8989	0	1939
2	1003	2	3	8989	0	1939
2	1004	2	3	8989	0	1939
2	1005	2	3	8989	0	1939
2	1006	2	3	8989	0	1939
2	1007	2	3	8989	0	1939
2	1008	2	3	8989	0	1939
2	1009	2	3	8989	0	1939
2	1010	2	3	8989	1.184	1939
2	1011	2	3	8989	2.618	1939
2	1012	2	3	8989	1.301	1939
2	1101	2	3	8989	.72600001	1939
2	1102	2	3	8989	0	1939
2	1103	2	3	8989	0	1939
2	1104	2	3	8989	0	1939
2	1105	2	3	8989	0	1939
2	1106	2	3	8989	0	1939
2	1201	2	3	8989	.229	1939
2	1301	2	3	8989	.713	1939
2	1302	2	3	8989	1.123	1939
2	1401	2	3	8989	.15000001	1939
2	1501	2	3	8989	.40700001	1939
2	101	3	3	8989	2.457	1939
2	102	3	3	8989	27.224001	1939
2	103	3	3	8989	.15000001	1939
2	104	3	3	8989	0	1939
2	105	3	3	8989	2.9119999	1939
2	106	3	3	8989	2.0480001	1939
2	107	3	3	8989	.764	1939
2	108	3	3	8989	.154	1939
2	109	3	3	8989	1.26	1939
2	110	3	3	8989	3.885	1939
2	501	3	3	8989	1.184	1939
2	502	3	3	8989	1.184	1939
2	503	3	3	8989	0	1939
2	504	3	3	8989	.41800001	1939
2	505	3	3	8989	0	1939
2	506	3	3	8989	.15000001	1939
2	201	4	3	8989	.22499999	1939
2	202	4	3	8989	3.5139999	1939
2	203	4	3	8989	.266	1939
2	204	4	3	8989	0	1939
2	205	4	3	8989	1.903	1939
2	206	4	3	8989	0	1939
2	207	4	3	8989	1.179	1939
2	208	4	3	8989	1.148	1939
2	209	4	3	8989	.15000001	1939
2	210	4	3	8989	0	1939
2	211	4	3	8989	1.2079999	1939
2	212	4	3	8989	0	1939
2	213	4	3	8989	.077	1939
2	214	4	3	8989	0	1939
2	215	4	3	8989	0	1939
2	216	4	3	8989	0	1939
2	217	4	3	8989	0	1939
2	506	5	3	8989	.15000001	1939
2	601	5	3	8989	20.667	1939
2	602	5	3	8989	1.377	1939
2	603	5	3	8989	0	1939
2	604	5	3	8989	0	1939
2	605	5	3	8989	11.705	1939
2	606	5	3	8989	0	1939
2	608	5	3	8989	0	1939
2	609	5	3	8989	0	1939
2	610	5	3	8989	0	1939
2	611	5	3	8989	0	1939
2	701	5	3	8989	0	1939
2	702	5	3	8989	.227	1939
2	703	5	3	8989	0	1939
2	704	5	3	8989	0	1939
2	705	5	3	8989	0	1939
2	1	6	3	8989	44.016998	1939
2	2	6	3	8989	.46000001	1939
2	3	6	3	8989	.23100001	1939
2	4	6	3	8989	1.395	1939
2	5	6	3	8989	.154	1939
2	6	6	3	8989	.266	1939
2	7	6	3	8989	0	1939
2	8	6	3	8989	0	1939
2	9	6	3	8989	.23100001	1939
2	10	6	3	8989	.077	1939
2	12	6	3	8989	.86900002	1939
2	13	6	3	8989	6.8200002	1939
2	14	6	3	8989	1.2079999	1939
2	15	6	3	8989	.764	1939
2	16	6	3	8989	13.232	1939
2	17	6	3	8989	0	1939
2	18	6	3	8989	.227	1939
2	19	6	3	8989	20.667	1939
2	20	6	3	8989	5.9229999	1939
2	21	6	3	8989	0	1939
2	22	6	3	8989	2.902	1939
2	23	6	3	8989	.15000001	1939
2	24	6	3	8989	.40700001	1939
